,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드
39,145,11680,압구정동,2021-02-08,현대3차(61~64동),443,82.5,12,1976,282000,443,0,11680,11000,1,압구정로39길,58,0,11680,0,,4166522
40,154,11680,압구정동,2021-02-15,"현대5차(71,72동)",455,82.23,1,1977,288000,455,0,11680,11000,1,압구정로29길,68,0,11680,1,0.0,4166514
41,160,11680,압구정동,2021-02-23,미성2차,397,74.4,7,1987,238500,397,0,11680,11000,1,압구정로,113,0,11680,3,0.0,3122007
42,171,11680,역삼동,2021-02-05,프리우스 역삼 102동,636,84.18,3,2006,115000,636,0,11680,10100,1,테헤란로13길,31,7,11680,1,0.0,4166718
43,177,11680,역삼동,2021-02-16,역삼푸르지오,754-1,84.9097,9,2006,260000,754,1,11680,10100,1,언주로,332,0,11680,1,0.0,3005086
44,181,11680,역삼동,2021-02-22,역삼디오슈페리움,832-5,84.34,16,2006,126000,832,5,11680,10100,1,강남대로,324,0,11680,1,0.0,2102001
45,187,11680,역삼동,2021-02-26,한양럭스,628-1,72.62,1,2003,69000,628,1,11680,10100,1,테헤란로25길,58,0,11680,1,0.0,4166726
46,188,11680,일원동,2021-02-03,가람,735,84.95,2,1993,220000,735,0,11680,11400,1,일원로,127,0,11680,1,0.0,3122009
47,189,11680,일원동,2021-02-06,푸른마을 아파트 101동~111동,719,84.93,13,1994,186000,719,0,11680,11400,1,일원로14길,25,0,11680,0,,4166705
48,191,11680,일원동,2021-02-09,래미안 개포 루체하임,741,84.97,15,2018,274500,741,0,11680,11400,1,개포로110길,50,0,11680,1,0.0,4166041
49,193,11680,일원동,2021-02-22,우성7,615,84.06,2,1987,210000,615,0,11680,11400,1,개포로110길,15,0,11680,1,0.0,4166041
50,194,11680,자곡동,2021-02-01,엘에이치강남아이파크,602,74.97,9,2014,87400,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
51,196,11680,자곡동,2021-02-02,엘에이치강남아이파크,602,84.83,12,2014,96600,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
52,197,11680,자곡동,2021-02-03,엘에이치강남아이파크,602,74.97,10,2014,87650,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
53,198,11680,자곡동,2021-02-03,엘에이치강남아이파크,602,74.89,2,2014,81850,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
54,200,11680,자곡동,2021-02-05,엘에이치강남아이파크,602,74.97,10,2014,86950,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
55,201,11680,자곡동,2021-02-05,엘에이치강남아이파크,602,74.89,9,2014,85550,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
56,202,11680,자곡동,2021-02-05,엘에이치강남아이파크,602,84.92,14,2014,98750,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
57,204,11680,자곡동,2021-02-05,엘에이치강남아이파크,602,74.97,14,2014,87400,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
58,205,11680,자곡동,2021-02-07,엘에이치강남아이파크,602,74.89,5,2014,165000,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
59,208,11680,자곡동,2021-02-09,엘에이치강남아이파크,602,74.97,9,2014,87100,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
60,209,11680,자곡동,2021-02-09,엘에이치강남아이파크,602,84.92,2,2014,93750,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
61,210,11680,자곡동,2021-02-10,엘에이치강남아이파크,602,84.96,4,2014,95650,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
62,211,11680,자곡동,2021-02-10,엘에이치강남아이파크,602,84.92,5,2014,95450,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
63,212,11680,자곡동,2021-02-10,엘에이치강남아이파크,602,74.97,5,2014,84650,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
64,214,11680,자곡동,2021-02-17,강남한양수자인(4단지),BL-4,84.99,6,2014,168000,4,0,11680,11200,5,자곡로,260,0,11680,2,0.0,3122014
65,215,11680,자곡동,2021-02-17,엘에이치강남아이파크,602,74.97,15,2014,87300,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
66,218,11680,자곡동,2021-02-19,엘에이치강남아이파크,602,74.97,1,2014,82450,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
67,221,11680,자곡동,2021-02-22,엘에이치강남아이파크,602,74.89,4,2014,83050,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
68,222,11680,자곡동,2021-02-22,엘에이치강남아이파크,602,74.97,7,2014,86150,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
69,223,11680,자곡동,2021-02-22,엘에이치강남아이파크,602,84.92,5,2014,95450,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
70,226,11680,자곡동,2021-02-23,엘에이치강남아이파크,602,74.89,13,2014,169000,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
71,227,11680,자곡동,2021-02-23,엘에이치강남아이파크,602,74.97,11,2014,87500,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
72,228,11680,자곡동,2021-02-23,엘에이치강남아이파크,602,74.97,3,2014,83700,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
73,230,11680,자곡동,2021-02-24,엘에이치강남아이파크,602,74.97,6,2014,85150,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
74,231,11680,자곡동,2021-02-24,엘에이치강남아이파크,602,74.97,5,2014,84150,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
75,233,11680,자곡동,2021-02-24,엘에이치강남아이파크,602,74.97,1,2014,82650,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
76,235,11680,자곡동,2021-02-26,엘에이치강남아이파크,602,74.97,6,2014,84250,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
77,237,11680,자곡동,2021-02-26,엘에이치강남아이파크,602,74.89,7,2014,84650,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
78,238,11680,자곡동,2021-02-26,엘에이치강남아이파크,602,74.89,5,2014,83450,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
79,243,11680,청담동,2021-02-03,청담자이,134-38,89.115,11,2011,350000,134,38,11680,10400,1,영동대로138길,12,0,11680,1,0.0,4166686
80,244,11680,청담동,2021-02-04,청담자이,134-38,90.197,6,2011,274000,134,38,11680,10400,1,영동대로138길,12,0,11680,1,0.0,4166686
81,252,11680,청담동,2021-02-18,범신칼릭스빌,125,84.78,2,2005,135000,125,0,11680,10400,1,도산대로89길,12,0,11680,1,0.0,4166305
82,253,11680,청담동,2021-02-24,청담린든그로브,67-1,84.9979,3,2017,280000,67,1,11680,10400,1,학동로97길,51,0,11680,0,,4166828
